gadget_id,gadget_name,identifier,labels
157,iphone5s  at&t  16gb  space gray,iphone5s at&t  16gb,
97,iphone5  verizon  32gb  black,iphone5 verizon  32gb,
113,iphone5  verizon  32gb  white,iphone5 verizon  32gb,
92,iphone5  verizon  16gb  black,iphone5 verizon  16gb,
103,iphone5  verizon  16gb  white,iphone5 verizon  16gb,
96,iphone5  at&t  32gb  black,iphone5 at&t  32gb,
111,iphone5  at&t  32gb  white,iphone5 at&t  32gb,
91,iphone5  at&t  16gb  black,iphone5 at&t  16gb,
101,iphone5  at&t  16gb  white,iphone5 at&t  16gb,
100,iphone5  unlocked  32gb  black,iphone5 unlocked  32gb,
119,iphone5  unlocked  32gb  white,iphone5 unlocked  32gb,
95,iphone5  unlocked  16gb  black,iphone5 unlocked  16gb,
109,iphone5  unlocked  16gb  white,iphone5 unlocked  16gb,
99,iphone5  sprint  32gb  black,iphone5 sprint  32gb,
117,iphone5  sprint  32gb  white,iphone5 sprint  32gb,
94,iphone5  sprint  16gb  black,iphone5 sprint  16gb,
107,iphone5  sprint  16gb  white,iphone5 sprint  16gb,
98,iphone5  tmobile  32gb  black,iphone5 tmobile  32gb,
115,iphone5  tmobile  32gb  white,iphone5 tmobile  32gb,
93,iphone5  tmobile  16gb  black,iphone5 tmobile  16gb,
105,iphone5  tmobile  16gb  white,iphone5 tmobile  16gb,
152,iphone5s  verizon  32gb  silver,iphone5s verizon  32gb,
168,iphone5s  verizon  32gb  gold,iphone5s verizon  32gb,
169,iphone5s  verizon  32gb  space gray,iphone5s verizon  32gb,
147,iphone5s  verizon  16gb  silver,iphone5s verizon  16gb,
158,iphone5s  verizon  16gb  gold,iphone5s verizon  16gb,
159,iphone5s  verizon  16gb  space gray,iphone5s verizon  16gb,
151,iphone5s  at&t  32gb  silver,iphone5s at&t  32gb,
166,iphone5s  at&t  32gb  gold,iphone5s at&t  32gb,
167,iphone5s  at&t  32gb  space gray,iphone5s at&t  32gb,
155,iphone5s  unlocked  32gb  silver,iphone5s unlocked  32gb,
174,iphone5s  unlocked  32gb  gold,iphone5s unlocked  32gb,
175,iphone5s  unlocked  32gb  space gray,iphone5s unlocked  32gb,
150,iphone5s  unlocked  16gb  silver,iphone5s unlocked  16gb,
164,iphone5s  unlocked  16gb  gold,iphone5s unlocked  16gb,
165,iphone5s  unlocked  16gb  space gray,iphone5s unlocked  16gb,
154,iphone5s  sprint  32gb  silver,iphone5s sprint  32gb,
172,iphone5s  sprint  32gb  gold,iphone5s sprint  32gb,
173,iphone5s  sprint  32gb  space gray,iphone5s sprint  32gb,
149,iphone5s  sprint  16gb  silver,iphone5s sprint  16gb,
162,iphone5s  sprint  16gb  gold,iphone5s sprint  16gb,
163,iphone5s  sprint  16gb  space gray,iphone5s sprint  16gb,
153,iphone5s  tmobile  32gb  silver,iphone5s tmobile  32gb,
170,iphone5s  tmobile  32gb  gold,iphone5s tmobile  32gb,
171,iphone5s  tmobile  32gb  space gray,iphone5s tmobile  32gb,
148,iphone5s  tmobile  16gb  silver,iphone5s tmobile  16gb,
160,iphone5s  tmobile  16gb  gold,iphone5s tmobile  16gb,
161,iphone5s  tmobile  16gb  space gray,iphone5s tmobile  16gb,
9,iphone 6  verizon  64gb  silver,iphone6 verizon  64gb,
32,iphone 6  verizon  64gb  gold,iphone6 verizon  64gb,
33,iphone 6  verizon  64gb  space gray,iphone6 verizon  64gb,
54,iphone 6 plus  verizon  64gb  silver,iphone6 verizon  64gb,
77,iphone 6 plus  verizon  64gb  gold,iphone6 verizon  64gb,
78,iphone 6 plus  verizon  64gb  space gray,iphone6 verizon  64gb,
2,iphone 6  verizon  16gb  silver,iphone6 verizon  16gb,
18,iphone 6  verizon  16gb  gold,iphone6 verizon  16gb,
19,iphone 6  verizon  16gb  space gray,iphone6 verizon  16gb,
47,iphone 6 plus  verizon  16gb  silver,iphone6 verizon  16gb,
63,iphone 6 plus  verizon  16gb  gold,iphone6 verizon  16gb,
64,iphone 6 plus  verizon  16gb  space gray,iphone6 verizon  16gb,
7,iphone 6  at&t  64gb  silver,iphone6 at&t  64gb,
28,iphone 6  at&t  64gb  gold,iphone6 at&t  64gb,
29,iphone 6  at&t  64gb  space gray,iphone6 at&t  64gb,
52,iphone 6 plus  at&t  64gb  silver,iphone6 at&t  64gb,
73,iphone 6 plus  at&t  64gb  gold,iphone6 at&t  64gb,
74,iphone 6 plus  at&t  64gb  space gray,iphone6 at&t  64gb,
1,iphone 6  at&t  16gb  silver,iphone6 at&t  16gb,
16,iphone 6  at&t  16gb  gold,iphone6 at&t  16gb,
17,iphone 6  at&t  16gb  space gray,iphone6 at&t  16gb,
46,iphone 6 plus  at&t  16gb  silver,iphone6 at&t  16gb,
61,iphone 6 plus  at&t  16gb  gold,iphone6 at&t  16gb,
62,iphone 6 plus  at&t  16gb  space gray,iphone6 at&t  16gb,
15,iphone 6  unlocked  64gb  silver,iphone6 unlocked  64gb,
44,iphone 6  unlocked  64gb  gold,iphone6 unlocked  64gb,
45,iphone 6  unlocked  64gb  space gray,iphone6 unlocked  64gb,
60,iphone 6 plus  unlocked  64gb  silver,iphone6 unlocked  64gb,
89,iphone 6 plus  unlocked  64gb  gold,iphone6 unlocked  64gb,
90,iphone 6 plus  unlocked  64gb  space gray,iphone6 unlocked  64gb,
5,iphone 6  unlocked  16gb  silver,iphone6 unlocked  16gb,
24,iphone 6  unlocked  16gb  gold,iphone6 unlocked  16gb,
25,iphone 6  unlocked  16gb  space gray,iphone6 unlocked  16gb,
50,iphone 6 plus  unlocked  16gb  silver,iphone6 unlocked  16gb,
69,iphone 6 plus  unlocked  16gb  gold,iphone6 unlocked  16gb,
70,iphone 6 plus  unlocked  16gb  space gray,iphone6 unlocked  16gb,
13,iphone 6  sprint  64gb  silver,iphone6 sprint  64gb,
40,iphone 6  sprint  64gb  gold,iphone6 sprint  64gb,
41,iphone 6  sprint  64gb  space gray,iphone6 sprint  64gb,
58,iphone 6 plus  sprint  64gb  silver,iphone6 sprint  64gb,
85,iphone 6 plus  sprint  64gb  gold,iphone6 sprint  64gb,
86,iphone 6 plus  sprint  64gb  space gray,iphone6 sprint  64gb,
4,iphone 6  sprint  16gb  silver,iphone6 sprint  16gb,
22,iphone 6  sprint  16gb  gold,iphone6 sprint  16gb,
23,iphone 6  sprint  16gb  space gray,iphone6 sprint  16gb,
49,iphone 6 plus  sprint  16gb  silver,iphone6 sprint  16gb,
67,iphone 6 plus  sprint  16gb  gold,iphone6 sprint  16gb,
68,iphone 6 plus  sprint  16gb  space gray,iphone6 sprint  16gb,
11,iphone 6  tmobile  64gb  silver,iphone6 tmobile  64gb,
36,iphone 6  tmobile  64gb  gold,iphone6 tmobile  64gb,
37,iphone 6  tmobile  64gb  space gray,iphone6 tmobile  64gb,
56,iphone 6 plus  tmobile  64gb  silver,iphone6 tmobile  64gb,
81,iphone 6 plus  tmobile  64gb  gold,iphone6 tmobile  64gb,
82,iphone 6 plus  tmobile  64gb  space gray,iphone6 tmobile  64gb,
3,iphone 6  tmobile  16gb  silver,iphone6 tmobile  16gb,
20,iphone 6  tmobile  16gb  gold,iphone6 tmobile  16gb,
21,iphone 6  tmobile  16gb  space gray,iphone6 tmobile  16gb,
48,iphone 6 plus  tmobile  16gb  silver,iphone6 tmobile  16gb,
65,iphone 6 plus  tmobile  16gb  gold,iphone6 tmobile  16gb,
66,iphone 6 plus  tmobile  16gb  space gray,iphone6 tmobile  16gb,
560, iphone5c  verizon  16gb  blue,iphone5c verizon  16gb,
568, iphone5c  verizon  16gb  yellow,iphone5c verizon  16gb,
569, iphone5c  verizon  16gb  pink,iphone5c verizon  16gb,
570, iphone5c  verizon  16gb  green,iphone5c verizon  16gb,
571, iphone5c  verizon  16gb  white,iphone5c verizon  16gb,
559, iphone5c  at&t  16gb  blue,iphone5c at&t  16gb,
564, iphone5c  at&t  16gb  yellow,iphone5c at&t  16gb,
565, iphone5c  at&t  16gb  pink,iphone5c at&t  16gb,
566, iphone5c  at&t  16gb  green,iphone5c at&t  16gb,
567, iphone5c  at&t  16gb  white,iphone5c at&t  16gb,
563, iphone5c  unlocked  16gb  blue,iphone5c unlocked  16gb,
580, iphone5c  unlocked  16gb  yellow,iphone5c unlocked  16gb,
581, iphone5c  unlocked  16gb  pink,iphone5c unlocked  16gb,
582, iphone5c  unlocked  16gb  green,iphone5c unlocked  16gb,
583, iphone5c  unlocked  16gb  white,iphone5c unlocked  16gb,
